AppName,Time,Bytes
iTunes/App Store,15:26,216035519
iCloud,15:26,213550383
iCloud,15:31,398213052
Yahoo(SSL),15:26,1637084
XBOX,15:21,13411906
XBOX,15:26,13411906
XBOX,15:31,13411906
World Wide Web HTTP,15:21,4845056
World Wide Web HTTP,15:26,4845392
World Wide Web HTTP,15:31,4846216
SSL/TLS,15:21,9021322
SSL/TLS,15:26,9022084
SSL/TLS,15:31,9022846
SNMP,15:31,0
Network Time Protocol,15:21,1043784
Network Time Protocol,15:26,1043860
Network Time Protocol,15:31,1043936
MicrosoftOnline(SSL),15:21,95777355
MicrosoftOnline(SSL),15:26,95814001
Microsoft(SSL),15:21,99604253
Microsoft(SSL),15:26,586595469
Microsoft Office 365,15:21,189268942
Microsoft Office,15:21,471387521
Microsoft Office,15:26,471453874
LinkedIn,15:26,4649691
Instagram,15:21,14505391
HTTP Protocol over TLS SSL,15:21,68892848
HTTP Protocol over TLS SSL,15:26,68895100
HTTP Protocol over TLS SSL,15:31,68897251
HTTP,15:21,17038335
HTTP,15:26,17038661
HTTP,15:31,644468
Google Static Content(SSL),15:26,1708436
Google APIs(SSL),15:26,7838739
Google,15:26,9247315
Gmail,15:21,131070473
DNS,15:21,3335651
DNS,15:26,3335879
DNS,15:31,3336107
Battle.net,15:21,106047343
Battle.net,15:26,106070879
Battle.net,15:31,106088803
Apple.com,15:21,143185501
Apple.com,15:26,36151734
Apple iMessage,15:21,59361061
Apple iMessage,15:26,57071591
Amazon CloudFront,15:21,1126684482
Amazon CloudFront,15:26,351323732
Amazon CloudFront,15:31,351324511
Amazon,15:21,379869027
Amazon,15:26,379876181
Amazon,15:31,379877659
